elapsed_ms,label,r,g,b
61237,rate_80,255,0,0
61253,rate_80,0,0,255
61270,rate_80,255,0,0
61287,rate_80,0,0,255
61304,rate_80,255,0,0
61320,rate_80,0,0,255
61337,rate_80,255,0,0
61353,rate_80,0,0,255
61370,rate_80,255,0,0
61386,rate_80,0,0,255
61403,rate_80,255,0,0
61420,rate_80,0,0,255
61436,rate_80,255,0,0
61453,rate_80,0,0,255
61470,rate_80,255,0,0
61486,rate_80,0,0,255
61504,rate_80,255,0,0
61523,rate_80,0,0,255
61542,rate_80,255,0,0
61562,rate_80,0,0,255
61581,rate_80,255,0,0
61598,rate_80,0,0,255
61617,rate_80,255,0,0
61635,rate_80,0,0,255
61652,rate_100_marker,0,0,0
62362,rate_100,255,0,0
62380,rate_100,0,0,255
62397,rate_100,255,0,0
62415,rate_100,0,0,255
62432,rate_100,255,0,0
62450,rate_100,0,0,255
62476,rate_100,255,0,0
62495,rate_100,0,0,255
62513,rate_100,255,0,0
62530,rate_100,0,0,255
62550,rate_100,255,0,0
62569,rate_100,0,0,255
62586,rate_100,255,0,0
62603,rate_100,0,0,255
62619,rate_100,255,0,0
62637,rate_100,0,0,255
62655,rate_100,255,0,0
62672,rate_100,0,0,255
62690,rate_100,255,0,0
62707,rate_100,0,0,255
62725,rate_100,255,0,0
62744,rate_100,0,0,255
62769,rate_100,255,0,0
62803,rate_100,0,0,255
62821,rate_100,255,0,0
62839,rate_100,0,0,255
62856,rate_100,255,0,0
62872,rate_100,0,0,255
62889,rate_100,255,0,0
62907,rate_100,0,0,255
62925,rate_100,255,0,0
62941,rate_100,0,0,255
62960,rate_100,255,0,0
62977,rate_100,0,0,255
62995,rate_100,255,0,0
63014,rate_100,0,0,255
63033,rate_100,255,0,0
63051,rate_100,0,0,255
63069,rate_100,255,0,0
63088,rate_100,0,0,255
63106,rate_100,255,0,0
63128,rate_100,0,0,255
63145,rate_100,255,0,0
63163,rate_100,0,0,255
63181,rate_100,255,0,0
63199,rate_100,0,0,255
63216,rate_100,255,0,0
63234,rate_100,0,0,255
63252,rate_100,255,0,0
63269,rate_100,0,0,255
63288,rate_100,255,0,0
63306,rate_100,0,0,255
63323,rate_100,255,0,0
63342,rate_100,0,0,255
63364,rate_100,255,0,0
63382,rate_100,0,0,255
63400,rate_100,255,0,0
63417,rate_100,0,0,255
63434,rate_100,255,0,0
63468,rate_100,0,0,255
63484,rate_100,255,0,0
63502,rate_100,0,0,255
63520,rate_100,255,0,0
63540,rate_100,0,0,255
63561,rate_100,255,0,0
63578,rate_100,0,0,255
63596,rate_100,255,0,0
63613,rate_100,0,0,255
63632,rate_100,255,0,0
63649,rate_100,0,0,255
63667,rate_100,255,0,0
63685,rate_100,0,0,255
63702,rate_100,255,0,0
63718,rate_100,0,0,255
63736,rate_100,255,0,0
63753,rate_100,0,0,255
63772,rate_100,255,0,0
63804,rate_100,0,0,255
63821,rate_100,255,0,0
63841,rate_100,0,0,255
63859,rate_100,255,0,0
63877,rate_100,0,0,255
63894,rate_100,255,0,0
63911,rate_100,0,0,255
63928,rate_100,255,0,0
63947,rate_100,0,0,255
63965,rate_100,255,0,0
63982,rate_100,0,0,255
64000,rate_100,255,0,0
64017,rate_100,0,0,255
64036,rate_100,255,0,0
64053,rate_100,0,0,255
64071,rate_100,255,0,0
64090,rate_100,0,0,255
64109,rate_100,255,0,0
64128,rate_100,0,0,255
64146,rate_100,255,0,0
64164,rate_100,0,0,255
64181,rate_100,255,0,0
64198,rate_100,0,0,255
64215,rate_100,255,0,0
64233,rate_100,0,0,255
64250,rate_100,255,0,0
64268,rate_100,0,0,255
64286,rate_100,255,0,0
64305,rate_100,0,0,255
64326,rate_100,255,0,0
64345,rate_100,0,0,255
64365,rate_100,255,0,0
64383,rate_100,0,0,255
64401,rate_100,255,0,0
64422,rate_100,0,0,255
64441,rate_100,255,0,0
64463,rate_100,0,0,255
64481,rate_100,255,0,0
64497,rate_100,0,0,255
64515,rate_100,255,0,0
64534,rate_100,0,0,255
64553,rate_100,255,0,0
64572,rate_100,0,0,255
64590,rate_100,255,0,0
64607,rate_100,0,0,255
64625,rate_100,255,0,0
64642,rate_100,0,0,255
64659,rate_100,255,0,0
64676,rate_100,0,0,255
64693,rate_100,255,0,0
64713,rate_100,0,0,255
64731,rate_100,255,0,0
64754,rate_100,0,0,255
